MonthYear,Percent
200707,0.001
200708,0.0
200709,0.0
200710,0.004
200711,0.002
200712,0.002
200801,0.0
200802,0.001
200803,0.003
200804,0.001
200805,0.001
200806,0.0
200807,0.001
200808,0.001
200809,0.001
200810,0.0
200811,0.001
200812,0.002
200901,0.003
200902,0.003
200903,0.005
200904,0.002
200905,0.001
200906,0.002
200907,0.001
200908,0.001
200909,0.001
200910,0.001
200911,0.001
200912,0.002
201001,0.002
201002,0.003
201003,0.004
201004,0.001
201005,0.001
201006,0.0
201007,0.0
201008,0.0
201009,0.0
201010,0.001
201011,0.0
201012,0.001
201101,0.001
201102,0.004
201103,0.003
201104,0.003
201105,0.002
201106,0.001
201107,0.001
201108,0.001
201109,0.002
201110,0.002
201111,0.003
201112,0.001
201201,0.002
201202,0.003
201203,0.003
201204,0.002
201205,0.002
201206,0.002
201207,0.002
201208,0.002
201209,0.002
201210,0.001
201211,0.001
201212,0.001
201301,0.001
201302,0.001
201303,0.002
201304,0.0
201305,0.003
201306,0.0
201307,0.001
201308,0.001
201309,0.001
201310,0.001
201311,0.001
201312,0.001
201401,0.001
201402,0.002
201403,0.002
201404,0.001
201405,0.001
201406,0.0
201407,0.001
201408,0.0
201409,0.001
201410,0.0
201411,0.001
201412,0.0
199704,0.001
199705,0.01
199706,0.003
199707,0.002
199708,0.001
199709,0.005
199710,0.0
199711,0.0
199712,0.001
199801,0.0
199802,0.0
199803,0.003
199804,0.0
199805,0.001
199806,0.0
199807,0.002
199808,0.019
199809,0.008
199810,0.004
199811,0.002
199812,0.005
199901,0.0
199902,0.0
199903,0.003
199904,0.003
199905,0.001
199906,0.001
199907,0.003
199908,0.006999999999999999
199909,0.003
199910,0.001
199911,0.021
199912,0.001
200001,0.004
200002,0.001
200003,0.002
200004,0.001
200005,0.001
200006,0.001
200007,0.003
200008,0.005
200009,0.002
200010,0.001
200011,0.001
200012,0.004
200101,0.009000000000000001
200102,0.004
200103,0.01
200104,0.001
200105,0.003
200106,0.001
200107,0.004
200108,0.005
200109,0.036000000000000004
200110,0.157
200111,0.05
200112,0.026000000000000002
200201,0.017
200202,0.009000000000000001
200203,0.013999999999999999
200204,0.015
200205,0.01
200206,0.016
200207,0.009000000000000001
200208,0.011000000000000001
200209,0.004
200210,0.006999999999999999
200211,0.026000000000000002
200212,0.006999999999999999
200301,0.013999999999999999
200302,0.006999999999999999
200303,0.016
200304,0.009000000000000001
200305,0.019
200306,0.008
200307,0.027000000000000003
200308,0.011000000000000001
200309,0.008
200310,0.013000000000000001
200311,0.02
200312,0.013999999999999999
200401,0.016
200402,0.008
200403,0.025
200404,0.018000000000000002
200405,0.013000000000000001
200406,0.011000000000000001
200407,0.011000000000000001
200408,0.022000000000000002
200409,0.025
200410,0.021
200411,0.009000000000000001
200412,0.004
200501,0.006999999999999999
200502,0.005
200503,0.023
200504,0.015
200505,0.091
200506,0.006
200507,0.012
200508,0.006
200509,0.024
200510,0.024
200511,0.012
200512,0.006999999999999999
200601,0.013000000000000001
200602,0.077
200603,0.024
200604,0.006
200605,0.019
200606,0.008
200607,0.013000000000000001
200608,0.006999999999999999
200609,0.013999999999999999
200610,0.016
200611,0.01
200612,0.01
200701,0.013999999999999999
200702,0.012
200703,0.02
200704,0.018000000000000002
200705,0.032
200706,0.016
200707,0.008
200708,0.006
200709,0.008
200710,0.009000000000000001
200711,0.008
200712,0.005
200801,0.011000000000000001
200802,0.006999999999999999
200803,0.026000000000000002
200804,0.006999999999999999
200805,0.016
200806,0.009000000000000001
200807,0.01
200808,0.013999999999999999
200809,0.008
200810,0.011000000000000001
200811,0.009000000000000001
200812,0.009000000000000001
200901,0.016
200902,0.008
200903,0.013000000000000001
200904,0.013000000000000001
200905,0.011000000000000001
200906,0.003
200907,0.009000000000000001
200908,0.012
200909,0.009000000000000001
200910,0.019
200911,0.013000000000000001
200912,0.02
201001,0.017
201002,0.008
201003,0.006
201004,0.01
201005,0.01
201006,0.013000000000000001
201007,0.01
201008,0.01
201009,0.031
201010,0.005
201011,0.008
201012,0.006999999999999999
201101,0.017
201102,0.004
201103,0.018000000000000002
201104,0.045
201105,0.016
201106,0.008
201107,0.01
201108,0.008
201109,0.008
201110,0.022000000000000002
201111,0.01
201112,0.008
201201,0.006
201202,0.063
201203,0.024
201204,0.006999999999999999
201205,0.01
201206,0.005
201207,0.008
201208,0.006999999999999999
201209,0.039
201210,0.004
201211,0.005
201212,0.004
201301,0.003
201302,0.011000000000000001
201303,0.006999999999999999
201304,0.005
201305,0.011000000000000001
201306,0.006
201307,0.003
201308,0.003
201309,0.004
201310,0.004
201311,0.006
201312,0.005
201401,0.005
201402,0.005
201403,0.006
201404,0.003
201405,0.004
201406,0.011000000000000001
201407,0.006
201408,0.005
201409,0.005
201410,0.003
201411,0.003
201412,0.0
199704,0.002
199705,0.003
199706,0.003
199707,0.001
199708,0.006999999999999999
199709,0.003
199710,0.026000000000000002
199711,0.015
199712,0.003
199801,0.004
199802,0.002
199803,0.003
199804,0.003
199805,0.001
199806,0.0
199807,0.006999999999999999
199808,0.002
199809,0.002
199810,0.004
199811,0.002
199812,0.002
199901,0.002
199902,0.003
199903,0.003
199904,0.006999999999999999
199905,0.0
199906,0.002
199907,0.004
199908,0.003
199909,0.001
199910,0.001
199911,0.001
199912,0.001
200001,0.002
200002,0.003
200003,0.001
200004,0.003
200005,0.006
200006,0.002
200007,0.002
200009,0.002
200010,0.001
200011,0.001
200012,0.001
200101,0.001
200102,0.002
200103,0.001
200104,0.025
200105,0.034
200106,0.036000000000000004
200107,0.013999999999999999
200108,0.006999999999999999
200109,0.002
200110,0.005
200111,0.001
200112,0.005
200201,0.001
200202,0.006
200203,0.013999999999999999
200204,0.008
200205,0.013999999999999999
200206,0.004
200207,0.003
200208,0.005
200209,0.003
200210,0.008
200211,0.001
200212,0.008
200301,0.005
200302,0.005
200303,0.001
200304,0.002
200305,0.003
200306,0.001
200307,0.0
200308,0.0
200309,0.0
200310,0.0
200311,0.001
200312,0.003
200401,0.002
200402,0.002
200403,0.004
200404,0.004
200407,0.0
200408,0.001
200409,0.0
200410,0.002
200411,0.001
200501,0.004
200502,0.001
200503,0.001
200504,0.0
200505,0.001
200506,0.003
200507,0.001
200508,0.0
200509,0.003
200510,0.001
200511,0.0
200512,0.001
200601,0.004
200602,0.002
200603,0.0
200605,0.0
200606,0.0
200608,0.0
200609,0.0
200610,0.0
200611,0.0
200701,0.0
200702,0.001
200703,0.0
200704,0.0
200705,0.002
200706,0.0
200707,0.0
200708,0.0
200709,0.001
200710,0.0
200711,0.0
200712,0.003
200801,0.0
200802,0.0
200803,0.0
200804,0.0
200805,0.0
200806,0.0
200807,0.0
200808,0.0
200809,0.0
200810,0.001
200811,0.0
200812,0.0
200901,0.003
200902,0.0
200903,0.0
200904,0.002
200905,0.0
200906,0.0
200907,0.0
200908,0.0
200909,0.0
200910,0.001
200911,0.0
200912,0.001
201001,0.008
201002,0.001
201003,0.001
201004,0.0
201005,0.0
201006,0.0
201007,0.0
201008,0.0
201009,0.0
201010,0.0
201011,0.001
201012,0.0
201101,0.021
201102,0.025
201103,0.003
201104,0.003
201105,0.001
201106,0.0
201107,0.0
201108,0.001
201109,0.001
201110,0.002
201111,0.0
201112,0.002
201201,0.002
201202,0.0
201203,0.001
201204,0.0
201205,0.003
201206,0.001
201207,0.0
201208,0.001
201209,0.0
201210,0.001
201211,0.003
201212,0.001
201301,0.01
201302,0.006999999999999999
201303,0.003
201304,0.006
201305,0.006
201306,0.003
201307,0.004
201308,0.003
201309,0.001
201310,0.001
201311,0.001
201312,0.001
201401,0.001
201402,0.001
201403,0.006999999999999999
201404,0.006999999999999999
201405,0.0
201406,0.0
201407,0.0
201408,0.0
201409,0.0
201410,0.004
201411,0.001
201412,0.001
199704,0.003
199705,0.0
199706,0.001
199707,0.003
199708,0.004
199709,0.003
199710,0.002
199711,0.004
199712,0.0
199801,0.002
199802,0.002
199803,0.003
199804,0.004
199805,0.008
199806,0.005
199807,0.006999999999999999
199808,0.013000000000000001
199809,0.026000000000000002
199810,0.019
199811,0.011000000000000001
199812,0.01
199901,0.001
199902,0.005
199903,0.006999999999999999
199904,0.005
199905,0.006
199906,0.005
199907,0.01
199908,0.006
199909,0.006999999999999999
199910,0.011000000000000001
199911,0.005
199912,0.004
200001,0.004
200002,0.011000000000000001
200003,0.001
200004,0.004
200005,0.006
200006,0.005
200007,0.011000000000000001
200008,0.008
200009,0.008
200010,0.005
200011,0.02
200012,0.009000000000000001
200101,0.012
200102,0.02
200103,0.003
200104,0.006999999999999999
200105,0.005
200106,0.006
200107,0.006
200108,0.015
200109,0.003
200110,0.004
200111,0.005
200112,0.015
200201,0.006999999999999999
200202,0.009000000000000001
200203,0.013000000000000001
200204,0.011000000000000001
200205,0.008
200206,0.023
200207,0.009000000000000001
200208,0.016
200209,0.013999999999999999
200210,0.006999999999999999
200211,0.008
200212,0.005
200301,0.011000000000000001
200302,0.009000000000000001
200303,0.005
200304,0.006
200305,0.006999999999999999
200306,0.006999999999999999
200307,0.005
200308,0.013000000000000001
200309,0.005
200310,0.017
200311,0.005
200312,0.006
200401,0.006
200402,0.011000000000000001
200403,0.003
200404,0.006
200405,0.003
200406,0.013000000000000001
200407,0.006
200408,0.006999999999999999
200409,0.009000000000000001
200410,0.006999999999999999
200411,0.006
200412,0.013999999999999999
200501,0.003
200502,0.006999999999999999
200503,0.006999999999999999
200504,0.005
200505,0.009000000000000001
200506,0.009000000000000001
200507,0.011000000000000001
200508,0.009000000000000001
200509,0.01
200510,0.022000000000000002
200511,0.031
200512,0.01
200601,0.003
200602,0.006999999999999999
200603,0.002
200604,0.002
200605,0.006
200606,0.006999999999999999
200607,0.005
200608,0.002
200609,0.004
200610,0.002
200611,0.009000000000000001
200612,0.002
200701,0.006
200702,0.003
200703,0.003
200704,0.002
200705,0.001
200706,0.002
200707,0.002
200708,0.002
200709,0.0
200710,0.0
200711,0.001
200712,0.001
200801,0.001
200802,0.004
200803,0.003
200804,0.004
200805,0.003
200806,0.002
200807,0.002
200808,0.004
200809,0.003
200810,0.004
200811,0.001
200812,0.001
200901,0.004
200902,0.002
200903,0.003
200904,0.002
200905,0.002
200906,0.002
