pub_date	keywords	headline	source	document_type	web_url	news_desk	section_name	snippet	lead_paragraph
2014-10-30T05:47:59Z		Protesters Storm, Set Fire to Burkina Faso Parliament-Witnesses	Reuters	article	http://www.nytimes.com/reuters/2014/10/30/world/africa/30reuters-burkina-politics-protests.html	None	World	Thousands of protesters stormed Burkina Faso's parliament on Thursday and set fire to the building, ahead of a vote on a motion to allow the president to stand for re-election, Reuters witnesses said.	Thousands of protesters stormed Burkina Faso's parliament on Thursday and set fire to the building, ahead of a vote on a motion to allow the president to stand for re-election, Reuters witnesses said.
2014-10-30T00:00:00Z	China; Hong Kong; Leung Chun-ying; Tien, James	Politician Who Called for Hong Kong Leader’s Resignation Is Formally Penalized	The New York Times	article	http://www.nytimes.com/2014/10/30/world/asia/james-tien-china-hong-kong-expelled.html	Foreign	World	James Tien, the head of Hong Kong’s pro-business Liberal Party, was removed from a largely powerless but prestigious organ of China’s government.	James Tien, the head of Hong Kong’s pro-business Liberal Party, was removed from a largely powerless but prestigious organ of China’s government.
2014-10-30T07:37:53Z		Hong Kong Protests a 'National Security Issue' for China	Reuters	article	http://www.nytimes.com/reuters/2014/10/30/world/asia/30reuters-hongkong-china-brother.html	None	World	Hong Kong's pro-democracy protests have escalated into a national security issue threatening Chinese sovereignty over the Asian financial center, a delegate to China's rubber-stamp parliament said on Thursday.	Hong Kong's pro-democracy protests have escalated into a national security issue threatening Chinese sovereignty over the Asian financial center, a delegate to China's rubber-stamp parliament said on Thursday.
2014-10-30T11:30:00Z	Hong Kong; China; Demonstrations, Protests and Riots; Democracy (Theory and Philosophy); Elections	Taking Back Hong Kong's Future		article	http://www.nytimes.com/2014/10/30/opinion/joshua-wong-taking-back-hong-kongs-future.html	OpEd	Opinion	The young protesters want what everybody else in an advanced society seems to have: a say in how we are governed.	The young protesters want what everybody else in an advanced society seems to have: a say in how we are governed.
2014-10-30T06:17:54Z		Burkina Faso President Won't Resign After Protests	AP	article	http://www.nytimes.com/aponline/2014/10/30/world/africa/ap-af-burkina-faso-politics.html	None	World	Burkina Faso's longtime leader refused to resign Thursday in the face of violent protests that posed the greatest threat to his nearly three-decade rule, saying instead he will lead a transitional government after parliament was dissolved.	Burkina Faso's longtime leader refused to resign Thursday in the face of violent protests that posed the greatest threat to his nearly three-decade rule, saying instead he will lead a transitional government after parliament was dissolved.
2014-10-30T02:52:16Z		Clashes Erupt as Israeli Police Kill Palestinian	Reuters	article	http://www.nytimes.com/reuters/2014/10/30/world/middleeast/30reuters-mideast-palestinians-israel-shooting.html	None	World	Israeli police on Thursday shot dead a 32-year-old Palestinian man suspected of having tried hours earlier to kill a far-right Jewish activist, leading to fierce clashes in East Jerusalem and fears of a new Palestinian uprising.	Israeli police on Thursday shot dead a 32-year-old Palestinian man suspected of having tried hours earlier to kill a far-right Jewish activist, leading to fierce clashes in East Jerusalem and fears of a new Palestinian uprising.
2014-10-30T05:02:08Z		Egypt Targets Universities as Last Haven for Political Expression	Reuters	article	http://www.nytimes.com/reuters/2014/10/30/world/middleeast/30reuters-egypt-universities-crackdown.html	None	World	Hundreds of police surround its walls, patrolling in armored vehicles with sirens blaring, while muscle-bound security guards man metal detectors, searching all who enter.	Hundreds of police surround its walls, patrolling in armored vehicles with sirens blaring, while muscle-bound security guards man metal detectors, searching all who enter.
2014-10-31T05:39:02Z		Heavy Security as Israel Reopens Jerusalem Site	AP	article	http://www.nytimes.com/aponline/2014/10/31/world/middleeast/ap-ml-israel-palestinians.html	None	World	Israel reopened a contested Jerusalem holy site on Friday and deployed more than 1,000 security personnel following clashes the previous day between Palestinians and Israeli riot police that had ratcheted up already heightened tensions in the city.	Israel reopened a contested Jerusalem holy site on Friday and deployed more than 1,000 security personnel following clashes the previous day between Palestinians and Israeli riot police that had ratcheted up already heightened tensions in the city.
2014-10-31T00:00:00Z	Burkina Faso; Demonstrations, Protests and Riots; Compaore, Blaise; D, Chuck	Images of a Dramatic Day in Burkina Faso	The New York Times	article	http://www.nytimes.com/2014/10/31/world/africa/images-of-a-dramatic-day-in-burkina-faso.html	Foreign	World	Video and photographs shared online Thursday showed chaotic celebrations in the capital, Ouagadougou, as protesters toppled the government.	Video and photographs shared online Thursday showed chaotic celebrations in the capital, Ouagadougou, as protesters toppled the government.
2014-10-31T00:00:00Z	Burkina Faso; Compaore, Blaise; Demonstrations, Protests and Riots	Violent Protests Topple Government in Burkina Faso	The New York Times	article	http://www.nytimes.com/2014/10/31/world/africa/burkina-faso-protests-blaise-compaore.html	Foreign	World	Violent protests against the president&#8217;s plans to stay in power after 27 years led to the dissolution of the government after attempts at compromise failed.	Violent protests against the president&#8217;s plans to stay in power after 27 years led to the dissolution of the government after attempts at compromise failed.
